ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
74121.0,0,0,2012.0,2.7,2.78,2.47,2.42,2.84,3.44,1,0,0,-2.2921551255202326,-0.6310098988398217
68121.0,0,0,2012.0,2.72,2.78,2.56,2.68,2.57,3.28,1,0,0,-2.2984375940653137,-0.48791809059286556
56856.0,0,0,2013.0,2.18,2.76,1.93,2.81,1.8,2.78,1,0,0,-3.553959193187802,0.560000373487463
78395.0,0,1,2012.0,2.78,3.46,2.74,2.55,2.32,3.44,1,0,0,-1.8994269363067595,-0.7323888750912808
62002.0,0,0,2012.0,2.48,2.61,2.57,2.32,2.38,2.46,1,0,0,-3.148583306092058,-0.013808932593873571
34280.0,0,0,2012.0,3.35,3.26,3.3,3.39,3.46,3.13,1,2,2,-0.3912587068812988,0.12631767208440028
58040.0,0,0,2012.0,4.24,4.2,4.22,4.39,4.22,3.54,0,1,1,2.3462991046577346,-0.19667804329263505
48071.0,0,0,2012.0,2.57,3.04,2.5,2.55,2.3,2.17,1,0,0,-2.9100402418896363,0.35991298897571894
68279.0,0,0,2012.0,4.65,4.43,4.7,4.68,4.8,4.38,0,1,1,3.802373849890805,-0.7343440006087167
32512.0,0,0,2012.0,4.36,4.28,4.41,4.26,4.46,3.89,0,1,1,2.7790513691108933,-0.12635275536543966
23893.0,0,1,2012.0,3.29,3.28,2.85,3.23,3.73,2.64,1,2,2,-0.7967968299486939,0.6089688983176526
40002.0,0,0,2012.0,3.42,3.67,3.17,3.68,3.21,2.69,1,2,2,-0.3304823158939003,0.3664710936284754
32972.0,0,1,2012.0,2.5,2.85,2.38,2.45,2.35,2.29,1,0,0,-3.1132462211087275,0.4505785625358162
36440.0,0,0,2012.0,3.37,3.59,3.36,3.39,3.12,3.36,1,2,2,-0.2450030965721982,-0.0726730345382139
40727.0,0,0,2012.0,3.72,3.85,3.43,3.68,3.93,3.3,0,2,2,0.7382269743801789,0.07826415693575868
74956.0,0,0,2013.0,2.32,2.52,1.97,1.97,2.59,2.67,1,0,0,-3.625441065627988,0.4367967571795951
72281.0,0,1,2012.0,3.13,3.3,2.85,3.32,2.98,3.47,1,2,2,-0.9386714503780851,-0.5152894396384061
94807.0,0,1,2012.0,3.17,3.5,3.02,2.94,3.16,3.21,1,2,2,-0.8972662806864,-0.6308675443880826
89200.0,0,0,2012.0,3.51,3.41,3.48,3.48,3.64,3.05,0,2,2,0.011253077581931293,-0.3960669867144972
96620.0,0,0,2013.0,1.91,2.13,1.84,2.23,1.7400000000000002,2.77,1,0,0,-4.490495572754283,0.03170286895356524
28959.000000000004,0,0,2012.0,2.84,3.33,2.8,2.9,2.42,2.66,1,0,0,-1.9583875059351519,0.3154125435638619
81977.0,0,0,2012.0,3.51,3.93,3.09,3.45,3.53,3.06,0,2,2,0.024758764738283492,-0.26749121389625463
47255.0,0,0,2012.0,3.4,3.15,3.46,3.55,3.32,3.36,1,2,2,-0.23817708058649867,-0.1775282363859758
44321.0,0,0,2012.0,3.76,3.83,3.94,3.9,3.34,3.13,0,2,2,0.7766383902261504,0.022205723273072676
25299.0,0,0,2012.0,4.04,4.3,4.06,4.26,3.56,3.26,0,1,1,1.6601116490903056,0.24001653705181158
89035.0,0,1,2012.0,4.02,4.43,4.07,3.87,3.61,3.83,0,1,1,1.7640176291311471,-0.8277497983068354
88657.0,0,0,2012.0,2.88,2.96,3.09,2.87,2.67,3.21,1,0,0,-1.6649204746649062,-0.6866767003315234
34754.0,0,0,2014.0,2.28,2.83,2.58,2.15,1.8,2.66,1,0,0,-3.4419907456426815,1.3895924626878255
52769.0,0,1,2013.0,2.98,2.73,3.47,2.13,3.25,2.08,1,0,0,-1.9932480630192027,0.9913338174732972
71184.0,0,0,2013.0,4.35,4.35,4.52,3.94,4.49,3.13,0,1,1,2.4492289139022594,0.5325114392920532
62114.0,0,0,2013.0,3.17,2.9,3.23,3.06,3.46,2.5,1,2,2,-1.1599531894784019,0.8137295493474707
27991.0,0,0,2013.0,4.36,4.48,4.46,3.74,4.59,3.52,0,1,1,2.6021510593802115,0.7729056557579029
